,domain,url,urlType,R_full_text_Flesch_reading_ease,R_full_text_Flesch_kincaid_grade,R_full_text_smog,R_full_text_gunning_fog,R_full_text_words_per_sentence,R_full_text_capitalized_words,R_full_text_lexicon,R_full_text_urls_counts,R_full_text_long_words,R_full_text_syllables,R_full_text_stop_words,R_full_text_sentences,R_full_text_linsear_write,R_full_text_automated_readability,R_full_text_characters_total,R_full_text_coleman_liax,R_full_text_difficult_words,R_full_text_words_total
10,nutritionfacts.org,https://nutritionfacts.org/audio/is-your-toothpaste-safe/,Reliable,65.07,20.9,17.2,15.38708252,14.64347826,83,1197,0,910,2464,10.62945368,115,15,25.4,9565,20.49,317,1684
11,nutritionfacts.org,https://nutritionfacts.org/audio/dr-gregers-daily-dozen/,Reliable,81.9,19.7,16.4,14.3629311,14.73404255,80,992,0,709,1852,12.92418773,94,12,24.9,7469,18.05,224,1385
12,nutritionfacts.org,https://nutritionfacts.org/audio/to-pee-or-not-to-pee/,Reliable,65.28,18.1,16.7,15.41569264,14.4375,100,1397,0,1032,2838,9.686147186,128,6,22.7,10896,19.73,353,1848
13,nutritionfacts.org,https://nutritionfacts.org/2015/08/13/how-walnuts-can-improve-artery-function/,Reliable,56.67,18.9,16.9,17.38531018,14.5862069,52,325,0,231,673,42.31678487,29,18.25,22.1,2533,19.56,101,423
14,nutritionfacts.org,https://nutritionfacts.org/2014/08/14/how-the-meat-industry-designed-a-highly-misleading-study/,Reliable,65.66,20.1,15.5,15.70481715,14.06818182,78,475,0,325,898,28.91760905,44,20.66666667,24.8,3519,17.65,125,619
15,consortiumnews.com,https://consortiumnews.com/2015/08/19/the-honduran-coups-ugly-aftermath/,Reliable,38.27,27.5,24,21.88233416,16.04,111,657,0,539,1454,22.319202,50,24.33333333,34.5,5483,24.27,270,802
16,christianpost.com,https://www.christianpost.com/news/veggietales-creator-bankruptcy-humbled-me-killed-my-idol-50119/,Reliable,67.51,15.2,15.3,15.20826319,12.23913043,100,466,0,324,830,31.79396092,46,12.33333333,19.1,3308,16.66,117,563
17,consortiumnews.com,http://www.consortiumnews.com/2010/121710.html,Reliable,45.03,19.7,18.9,18.17209211,17.71686747,779,2287,0,1804,4880,6.086365182,166,20,25,18613,22.11,668,2941
18,consortiumnews.com,http://www.consortiumnews.com/2011/020611.html,Reliable,45.64,22.5,20.3,18.59301809,17.12025316,522,2155,0,1713,4544,6.617375231,158,16.5,28.5,17509,22.17,659,2705
19,consortiumnews.com,http://www.consortiumnews.com/2010/122910b.html,Reliable,48.52,20.8,19.5,18.2105179,14.28148148,370,1493,0,1230,3258,9.284232365,135,16.4,25.8,12458,23.09,506,1928
20,consortiumnews.com,http://www.consortiumnews.com/2011/012911.html,Reliable,45.32,21.4,20.1,19.65806584,17.43283582,521,1873,0,1448,3961,7.662671233,134,14,26.3,14856,21.3,624,2336
21,consortiumnews.com,https://consortiumnews.com/2013/12/17/judge-leons-dirty-climb-to-the-bench/,Reliable,45.66,19,18.4,18.08929401,17.10091743,464,1529,0,1164,3096,9.603004292,109,11,24.4,11987,20.77,431,1864
22,consortiumnews.com,https://consortiumnews.com/2016/07/15/americas-unbridged-racial-divide/,Reliable,65.71,15.6,15.2,18.43307627,14.01587302,165,718,0,533,1366,20.27180068,63,12.6,20.1,5423,19.03,239,883
23,consortiumnews.com,https://consortiumnews.com/2017/12/11/russia-gates-litany-of-corrections/,Reliable,43.76,23.7,21.8,20.72735767,18.9673913,345,1448,0,1166,3035,10.25787966,92,15,29.9,11638,22.52,486,1745
24,consortiumnews.com,https://consortiumnews.com/2015/03/20/how-mandela-and-s-africa-were-freed-2/,Reliable,54.42,23.6,19.4,20.34350562,16.80392157,141,678,1,516,1344,20.88681447,51,33,29.5,5240,20.03,249,857
25,consortiumnews.com,https://consortiumnews.com/2011/11/09/who-is-judge-richard-leon/,Reliable,54,18,17.8,18.11178704,17.21568627,445,1436,0,1085,2892,10.19362187,102,11,22.8,11178,20.43,405,1756
26,consortiumnews.com,https://consortiumnews.com/2014/07/08/turning-japan-back-toward-militarism/,Reliable,68.51,15.8,15.9,13.78551358,11.25352113,315,1199,0,864,2335,11.20150188,142,14.8,19.7,8936,17.58,291,1598
27,consortiumnews.com,https://consortiumnews.com/2015/08/31/ron-paul-and-lost-lessons-of-war/,Reliable,38.43,17.3,17.3,19.58871298,15.88461538,368,1391,0,1082,2926,10.83535109,104,13.4,21.6,11175,21.75,464,1652
28,consortiumnews.com,https://consortiumnews.com/2014/01/21/human-rights-watchs-syria-dilemma/,Reliable,37.17,26.7,24.2,20.74781022,17.125,137,448,0,363,960,32.66423358,32,18,33.3,3566,22.12,163,548
29,consortiumnews.com,https://consortiumnews.com/2014/01/24/mlk-and-the-curse-of-moderation/,Reliable,50.38,18.1,17.4,18.13500994,12.4494382,171,927,0,715,1839,16.15523466,89,12,22.9,7203,20.54,309,1108
30,consortiumnews.com,https://consortiumnews.com/2013/01/17/the-iraq-war-surge-myth-returns/,Reliable,44.45,20.2,19.5,20.92892847,18.29310345,260,877,0,704,1777,16.87087653,58,10.83333333,25.8,6850,20.9,308,1061
31,consortiumnews.com,https://consortiumnews.com/2016/07/14/still-sabotaging-the-iran-nuke-agreement/,Reliable,27.28,27.5,25.3,20.88847576,18.53968254,172,1012,0,768,2194,15.32534247,63,13.83333333,33.2,8089,22.87,335,1168
32,consortiumnews.com,https://consortiumnews.com/2013/04/18/the-power-of-false-narratives/,Reliable,36.44,23.3,21.4,20.27621481,17.84536082,347,1428,0,1200,3132,10.34084344,97,13.66666667,29.3,11900,24.2,482,1731
33,consortiumnews.com,https://consortiumnews.com/2015/03/20/netanyahu-too-dishonest-by-half/,Reliable,26.64,24.4,21.6,23.61790079,19.17142857,133,560,0,469,1273,26.67660209,35,14.4,29.6,4720,24.61,234,671
34,consortiumnews.com,https://consortiumnews.com/2012/03/06/mother-of-the-sit-down-strike/,Reliable,55.24,17.1,16.2,18.91020408,16,139,631,1,486,1229,22.83163265,49,16.75,22.3,4807,19.32,206,784
35,consortiumnews.com,https://consortiumnews.com/2011/06/11/teddy-roosevelts-bloodlust/,Reliable,66.35,14.6,14.5,18.01668467,13.38636364,114,478,0,345,902,30.39049236,44,18,18.5,3574,18.16,157,589
36,consortiumnews.com,https://consortiumnews.com/2016/10/25/women-call-for-israel-palestine-peace/,Reliable,67.69,17.8,15.9,15.09394185,12.06329114,222,756,0,551,1431,18.78279119,79,13,22.2,5609,18.05,197,953
37,consortiumnews.com,https://consortiumnews.com/2013/03/29/the-two-views-of-jesuss-murder/,Reliable,50.84,15.6,14.5,17.38823529,12,182,678,0,532,1347,21.93627451,68,11.5,19.8,5296,20.36,216,816
38,consortiumnews.com,https://consortiumnews.com/2015/01/12/the-sorry-record-of-a-muslim-basher/,Reliable,43.54,21.4,19.1,20.25309242,19.19148936,431,1439,0,1167,3002,9.922394678,94,15,27,11645,22.35,477,1804
39,consortiumnews.com,https://consortiumnews.com/2015/09/14/in-case-you-missed-52/,Reliable,59.99,19.6,15.1,18.44494036,19.65217391,207,357,0,221,656,39.60176991,23,19,23.3,2477,14.75,97,452
40,consortiumnews.com,https://consortiumnews.com/2011/10/07/why-afghanistan-really-fell-apart/,Reliable,48.02,18.8,17.9,17.46255216,14.77707006,627,1924,0,1521,3948,7.715517241,157,25.66666667,23.5,15409,21.82,554,2320
41,consortiumnews.com,https://consortiumnews.com/2016/12/14/the-rise-of-white-racial-nationalism/,Reliable,49.91,19.2,17.5,19.41715749,12.90909091,170,690,0,557,1433,21.00938967,66,11.33333333,23.5,5484,21.18,261,852
42,consortiumnews.com,https://consortiumnews.com/2011/06/24/the-lie-behind-the-afghan-war/,Reliable,54.57,20.8,18.9,18.77652376,16.65882353,305,1149,0,905,2267,12.64124294,85,24.66666667,26.4,8945,20.72,358,1416
43,consortiumnews.com,https://consortiumnews.com/2018/01/11/trump-lashes-pakistan-over-afghan-war/,Reliable,52.36,18.7,16.6,16.6344621,10.4953271,246,907,0,724,1862,15.93944791,107,12,23.4,7260,21.76,293,1123
44,consortiumnews.com,https://consortiumnews.com/2017/12/22/why-loss-of-net-neutrality-hurts-democracy/,Reliable,52.12,17,16.5,16.86143559,10.734375,193,1116,0,876,2392,13.02765648,128,28.66666667,20.8,8884,21.17,363,1374
45,consortiumnews.com,https://consortiumnews.com/2017/06/30/is-trump-making-up-syria-sarin-claims/,Reliable,67.57,19.9,18.1,13.85693591,12.17910448,191,1246,0,930,2450,10.96813725,134,22.66666667,23.4,9293,18.17,285,1632
46,consortiumnews.com,https://consortiumnews.com/2017/08/16/taking-nuclear-war-seriously/,Reliable,70.09,15,14.7,16.0156198,9.695238095,195,814,0,608,1553,17.58349705,105,16.25,18.5,5989,17.64,258,1018
47,consortiumnews.com,https://consortiumnews.com/2017/01/08/the-lefts-challenge-in-age-of-trump/,Reliable,65.85,20.3,17.3,15.20500561,13.87570621,279,1766,0,1285,3605,7.288273616,177,22.66666667,25,13693,18.87,470,2456
48,consortiumnews.com,https://consortiumnews.com/2017/06/23/palestinians-still-demand-human-rights/,Reliable,79.48,12.9,12.8,12.06708245,8.786127168,183,1131,0,795,2180,11.77631579,173,14.8,15.5,8339,16.41,249,1520
49,consortiumnews.com,https://consortiumnews.com/2017/12/22/the-strangelovian-russia-gate-myth/,Reliable,45.37,22.4,19.9,23.65204118,17.38888889,154,945,0,807,2154,14.2971246,72,12.33333333,27.9,8206,24.89,460,1252
50,consortiumnews.com,https://consortiumnews.com/2017/08/16/cataclysmic-risks-of-north-korean-crisis/,Reliable,69.64,15.8,15.5,13.43695518,10.1452514,387,1481,0,1127,2772,9.856828194,179,17,19.3,10778,17.76,335,1816
51,consortiumnews.com,https://consortiumnews.com/2017/01/09/europes-mixed-feelings-about-trump/,Reliable,35.09,21.7,19.7,22.89547609,19.18181818,192,709,0,597,1508,21.20853081,44,14.2,27.5,5716,22.46,279,844
52,consortiumnews.com,https://consortiumnews.com/2017/10/02/trumps-hurt-feelings-over-puerto-rico/,Reliable,69.57,13.1,13.2,14.35300255,10.21428571,269,1046,0,743,1921,13.90831391,126,25,16.7,7498,16.59,266,1287
53,consortiumnews.com,https://consortiumnews.com/2015/01/27/backdoor-scheme-against-net-neutrality/,Reliable,42.72,19.9,19,21.40425532,20,210,768,0,581,1630,19.04255319,47,19.5,24.3,6076,21.3,268,940
54,consortiumnews.com,https://consortiumnews.com/2017/10/02/a-challenge-or-matching-grant/,Reliable,52.06,24.4,22.1,22.46045752,19.125,38,108,0,90,242,116.9934641,8,37,31.4,929,23.62,49,153
55,consortiumnews.com,https://consortiumnews.com/2017/10/02/galveston-biolabs-amid-global-warming/,Reliable,49.36,18.5,17.6,16.23997522,13.45,511,2688,0,2018,5372,5.545229244,240,8.285714286,22.8,20500,19.73,715,3228
56,consortiumnews.com,https://consortiumnews.com/2017/10/05/political-fig-leaf-after-las-vegas-slaughter/,Reliable,67.17,17,17.4,16.94964594,12.57627119,86,573,1,405,1109,24.12398922,59,15,22.2,4341,19.03,184,742
57,consortiumnews.com,https://consortiumnews.com/2017/10/03/pilger-criticizes-ken-burnss-the-vietnam-war/,Reliable,69.61,16.3,15.7,15.89862505,10.17391304,165,755,0,544,1429,19.12393162,92,32,20.5,5605,18.22,230,936
58,christianpost.com,https://www.christianpost.com/news/what-are-the-8-types-of-jihad-former-radical-muslim-explains-179338/,Reliable,68.38,18.5,16,16.2325214,11.3877551,126,428,0,313,862,32.07885305,49,13.8,22.2,3252,18.51,135,558
59,christianpost.com,https://www.christianpost.com/news/wikileaks-hillary-clinton-mock-evangelicals-and-conservative-catholics-podesta-email-palmieri-halpin-170718/,Reliable,58.04,21.6,18,17.51633987,13.23529412,134,348,0,278,704,39.77777778,34,33.5,28.2,2804,21.24,115,450
60,christianpost.com,https://www.christianpost.com/news/first-named-larry-nassar-abuse-survivor-rachael-denhollander-preaches-gospel-to-disgraced-doctor-215129/,Reliable,62.65,27,18.1,16.6916911,17.03225806,82,414,0,305,767,33.90151515,31,16.25,33.7,3066,18,104,528
61,christianpost.com,https://www.christianpost.com/news/evangelical-trump-supporters-are-betraying-their-values-russell-moore-says-145575/,Reliable,57.87,23.1,20,17.78062415,13.4,200,570,0,463,1203,24.28765265,55,38.5,28.7,4585,21.48,192,737
62,christianpost.com,https://www.christianpost.com/news/left-behind-in-the-mainline-witnessing-within-the-united-methodist-church-131848/,Reliable,45.7,24.3,20.6,20.47870183,17.05882353,116,464,0,349,1012,30.86206897,34,18.5,29.4,3789,22.52,169,580
63,christianpost.com,https://www.christianpost.com/news/refugees-migrants-muslims-germany-attacks-jews-148653/,Reliable,65.82,21.4,16.8,18.8926124,13.90909091,102,343,0,275,677,38.99782135,33,22.33333333,27.3,2707,20.43,130,459
64,christianpost.com,https://www.christianpost.com/news/women-are-committing-suicide-by-the-hundreds-to-escape-isis-sex-slavery-146990/,Reliable,64.77,27.8,20.3,17.19710863,14.94444444,113,406,0,315,800,33.27137546,36,67,34.5,3123,19.34,124,538
65,christianpost.com,https://www.christianpost.com/news/florida-teacher-bans-cross-necklaces-in-class-promotes-lgbt-day-of-silence-181167/,Reliable,50.53,23.3,18.6,19.8383281,20.63888889,119,579,0,460,1196,24.09152086,36,22,28.6,4621,21.01,178,743
66,christianpost.com,https://www.christianpost.com/news/children-must-be-taught-transgenderism-homosexuality-nursury-school-uk-teachers-say-181006/,Reliable,55.24,21.3,18.6,21.1,16,79,310,0,235,654,44.75,25,23.66666667,26.4,2501,21.3,127,400
67,christianpost.com,https://www.christianpost.com/news/falling-out-of-love-does-not-justify-divorce-john-piper-212722/,Reliable,58.07,27.8,21.2,17.41330692,13.20689655,50,286,0,211,595,46.73629243,29,32,33.4,2236,19.86,97,383
68,christianpost.com,https://www.christianpost.com/news/young-americans-cheat-on-spouses-less-often-than-older-americans-study-finds-190930/,Reliable,56.35,21.7,18.8,18.95933895,14.90243902,70,481,0,365,1004,29.29623568,41,24,26.3,3797,20.66,168,611
69,consortiumnews.com,https://consortiumnews.com/2016/04/10/would-a-clinton-win-mean-more-wars/,Reliable,44.53,18,17.6,19.55396004,18.21052632,513,1697,0,1369,3459,8.622350674,114,13.4,23.8,13538,21.64,533,2076
70,consortiumnews.com,https://consortiumnews.com/2016/04/01/cleaning-up-hillarys-libyan-mess/,Reliable,34.99,19.2,19,21.31011487,19.27868852,284,1009,0,840,2068,15.22108844,61,25,25.2,8000,21.94,341,1176
71,consortiumnews.com,https://consortiumnews.com/2016/04/02/how-israeli-propaganda-succeeds/,Reliable,37.61,23.1,21,21.42493717,16.69333333,342,1009,0,823,2276,14.2971246,75,14.6,27.1,8362,23.33,399,1252
72,consortiumnews.com,https://consortiumnews.com/2015/11/12/fresh-twists-in-the-lockerbie-case/,Reliable,55.31,19.2,17.9,17.55935702,15.92941176,625,2210,0,1729,4372,6.610044313,170,23.66666667,24.6,17333,21.07,622,2708
73,consortiumnews.com,https://consortiumnews.com/2015/11/12/new-pressures-for-mideast-peace/,Reliable,31.33,22.9,21.2,23.43266941,22.87804878,191,767,0,612,1714,19.08315565,41,19.25,28.6,6402,23.97,288,938
74,consortiumnews.com,https://consortiumnews.com/2015/11/12/netanyahu-ups-the-us-ante/,Reliable,46.11,20,18.1,19.74698881,16.65384615,202,740,0,562,1455,20.66974596,52,16,25,5682,20.08,240,866
75,consortiumnews.com,https://consortiumnews.com/2015/11/11/separating-war-from-the-vets-2/,Reliable,48.36,19.5,18.5,20.60654431,14.43859649,112,661,0,513,1406,21.74969623,57,17,23.7,5255,20.95,264,823
76,consortiumnews.com,https://consortiumnews.com/2015/11/13/gulf-states-slip-out-of-war-on-isis/,Reliable,43.73,20.5,19.1,22.55546559,19,115,416,0,316,850,36.23481781,26,12.8,25.8,3215,20.55,160,494
77,consortiumnews.com,https://consortiumnews.com/2015/11/11/rubios-big-time-military-build-up/,Reliable,38.23,18,16.6,21.72348877,16.08333333,289,1271,0,1023,2794,11.59326425,96,17.5,21.6,10401,22.51,513,1544
78,consortiumnews.com,https://consortiumnews.com/2016/03/11/hillarys-double-standard-on-protests/,Reliable,48.39,24.2,22.4,19.71793953,14.40816327,120,578,0,461,1231,25.35410765,49,19.25,30.3,4644,22.11,211,706
79,consortiumnews.com,https://consortiumnews.com/2016/03/11/the-electoral-choice-from-hell/,Reliable,58.21,17.4,16.3,17.51260449,13.06976744,269,896,0,680,1774,15.9252669,86,11.33333333,21.5,6900,19.5,289,1124
80,consortiumnews.com,https://consortiumnews.com/2016/03/07/creating-russiachina-bogeymen/,Reliable,37.76,20.9,19.7,22.23346314,16.54716981,337,1493,0,1248,3204,10.20524515,106,29,26.4,12067,22.75,597,1754
81,consortiumnews.com,https://consortiumnews.com/2017/03/16/trumping-trump-and-howling-at-the-moonves/,Reliable,65.99,16.3,15,15.22580515,13.74271845,400,2223,1,1589,4168,6.322854115,206,11.16666667,20.4,16507,18.05,547,2831
82,consortiumnews.com,https://consortiumnews.com/2014/08/05/how-lbj-was-deceived-on-gulf-of-tonkin/,Reliable,36.2,18.9,18.4,20.05757196,18.08510638,179,753,0,572,1504,21.05882353,47,17,23,5673,19.61,230,850
83,nutritionfacts.org,https://nutritionfacts.org/2016/04/12/might-turmeric-help-prevent-alzheimers/,Reliable,53.35,27.9,0,19.70285714,17.85714286,16,96,0,77,204,143.2,7,32,34.7,770,21.54,33,125
84,nutritionfacts.org,https://nutritionfacts.org/2016/12/27/dr-gregers-new-dvd-now-streaming/,Reliable,59.89,15.1,14.1,16.69855072,11.41304348,138,416,0,286,819,34.0952381,46,24,18.7,3223,19.31,133,525
85,nutritionfacts.org,https://nutritionfacts.org/video/optimal-vinegar-dose/,Reliable,66.32,17.4,15.2,16.14513458,13.41666667,26,381,0,292,728,37.06004141,36,16.25,22.3,2876,18.63,106,483
86,nutritionfacts.org,https://nutritionfacts.org/video/where-does-the-arsenic-in-rice-mushrooms-and-wine-come-from/,Reliable,63.3,21,15.9,17.77589454,16.38888889,31,424,0,302,879,30.33898305,36,30.5,24.8,3336,19.33,136,590
87,nutritionfacts.org,https://nutritionfacts.org/audio/be-anti-oxidant/,Reliable,64.74,21.9,19.5,15.22718651,14.97435897,70,1271,0,925,2658,10.21689498,117,13.8,26.4,10045,20.32,317,1752
88,nutritionfacts.org,https://nutritionfacts.org/topics/seaweed/,Reliable,81.04,17,0,17.3137931,7.25,8,20,0,16,41,617.2413793,4,15.5,24.6,179,24.19,9,29
89,nutritionfacts.org,https://nutritionfacts.org/video/the-effects-of-too-much-arsenic-in-the-diet/,Reliable,66.24,17.1,14.2,15.87810746,13.48837209,25,420,0,311,852,30.86206897,43,11.4,20.8,3248,18.63,123,580
90,nutritionfacts.org,https://nutritionfacts.org/questions/can-soy-suppress-the-thyroid/,Reliable,69.32,12.2,10.7,17.66007905,10.45454545,32,86,0,59,169,155.6521739,11,6.875,13.6,639,16.39,33,115
91,nutritionfacts.org,https://nutritionfacts.org/video/eating-more-to-weigh-less/,Reliable,66.23,14.5,14.9,14.94850088,13.5,30,450,0,327,845,31.5696649,42,6.25,17,3258,16.59,107,567
92,nutritionfacts.org,https://nutritionfacts.org/video/preventing-alzheimers-with-lifestyle-changes/,Reliable,54.9,17.3,17,20.37006803,16.33333333,26,239,0,182,480,60.88435374,18,18,22.4,1892,20.95,87,294
93,nutritionfacts.org,https://nutritionfacts.org/video/preventing-alzheimers-disease-with-diet/,Reliable,43.36,25.8,21.3,20.18215103,19.36842105,33,299,0,220,620,48.64130435,19,74,31.2,2333,20.84,96,368
94,nutritionfacts.org,https://nutritionfacts.org/video/peanut-butter-smell-test-for-alzheimers/,Reliable,56.28,20.6,19.2,18.11249653,14.97368421,38,458,0,361,882,31.45869947,38,17.25,27.5,3555,20.61,144,569
95,nutritionfacts.org,https://nutritionfacts.org/questions/what-is-a-good-source-of-probiotics/,Reliable,49.01,17.1,15.7,22.59246377,13.8,25,103,0,77,229,129.7101449,10,18.5,18.6,812,19.14,52,138
96,nutritionfacts.org,https://nutritionfacts.org/video/Fermented-or-Unfermented-Soy-Foods-for-Prostate-Cancer-Prevention/,Reliable,77.74,16.2,15.3,15.72380952,10.5,28,216,0,162,411,60.88435374,28,22.33333333,20.6,1633,17.99,70,294
97,nutritionfacts.org,https://nutritionfacts.org/video/Is-Soy-Healthy-for-Breast-Cancer-Survivors/,Reliable,54.04,25.1,20.2,18.18565673,17.17647059,32,448,0,343,930,30.65068493,34,18.5,30.4,3532,20.61,136,584
98,nutritionfacts.org,https://nutritionfacts.org/video/is-kimchi-good-for-you/,Reliable,79.49,13.3,11.9,14.98137652,8.769230769,11,81,0,56,161,157.0175439,13,10.66666667,15.5,620,17.04,27,114
99,nutritionfacts.org,https://nutritionfacts.org/topics/apple-cider-vinegar/,Reliable,70.46,11.1,0,18.59047619,9.333333333,8,22,0,16,41,639.2857143,3,7.5,11.7,154,14.25,9,28
100,nutritionfacts.org,https://nutritionfacts.org/topics/coconuts/,Reliable,59,13.9,13.3,17.82673797,12.29411765,15,166,0,115,330,85.64593301,17,14.2,17.2,1280,18.9,57,209
101,nutritionfacts.org,https://nutritionfacts.org/2017/07/20/how-to-treat-the-root-cause-of-diabetes/,Reliable,49.53,24.8,21.8,16.34654378,13.28571429,22,439,0,303,924,32.07885305,42,22.33333333,29,3340,19.39,126,558
102,nutritionfacts.org,https://nutritionfacts.org/video/Where-Does-the-Arsenic-in-Rice-Mushrooms-and-Wine-Come-From/,Reliable,63.3,21,15.9,17.77589454,16.38888889,31,424,0,302,879,30.33898305,36,30.5,24.8,3336,19.33,136,590
103,nutritionfacts.org,https://nutritionfacts.org/video/How-to-Cook-Rice-to-Lower-Arsenic-Levels/,Reliable,70.91,23.4,15.8,14.81162554,17.225,20,510,0,338,948,25.9796807,40,18.33333333,27.2,3596,15.45,102,689
104,christianpost.com,https://www.christianpost.com/news/russia-facebook-and-us-why-we-are-so-vulnerable-to-fake-news-206043/,Reliable,58.93,21.8,17.8,17.27041013,12.35714286,72,379,0,265,821,34.4894027,42,16.5,24.7,3004,20.08,134,519
105,christianpost.com,https://www.christianpost.com/news/judge-gives-fema-3-weeks-change-policy-banning-churches-receiving-disaster-relief-206253/,Reliable,43.86,24.6,21.7,22.63538369,18.86956522,101,334,0,282,756,41.24423963,23,19,27.8,2701,21.77,142,434
106,christianpost.com,https://www.christianpost.com/news/islam-and-the-mistreatment-of-women-206039/,Reliable,65.67,18.5,16.4,18.55738222,14.05263158,103,420,0,328,808,33.52059925,38,11.33333333,23.9,3192,19.16,146,534
107,christianpost.com,https://www.christianpost.com/news/embracing-our-muslim-neighbors-204942/,Reliable,58.26,18.8,17.4,18.04812688,13.01886792,139,554,0,427,1130,25.94202899,53,24.33333333,23.7,4323,20.08,187,690
108,christianpost.com,https://www.christianpost.com/news/muslim-stalker-threatens-pakistani-christian-girl-acid-attack-not-marrying-him-205076/,Reliable,63.8,22.1,17.6,18.67446541,15.9,78,391,0,273,738,37.52620545,30,14.25,27.7,2900,18.52,123,477
109,christianpost.com,https://www.christianpost.com/news/is-usaid-defying-trumps-order-aid-christians-iraq-205449/,Reliable,49.72,25.6,21.1,21.446124,21.43478261,139,380,0,282,812,36.30831643,23,34,31.9,3062,21.42,134,493
110,christianpost.com,https://www.christianpost.com/news/3-texas-churches-sue-fema-policy-banning-churches-from-receiving-hurricane-harvey-disaster-relief-198170/,Reliable,41.19,23.3,20.6,22.46046512,21.5,121,397,0,311,858,34.68992248,24,26,26.9,3146,20.78,153,516
111,christianpost.com,https://www.christianpost.com/news/churches-must-not-be-excluded-from-fema-relief-senators-declare-in-bill-tackling-discrimination-199883/,Reliable,44.64,37.5,29.5,21.1270936,18.10344828,105,399,0,319,915,34.0952381,29,25.66666667,45,3288,22.7,156,525
112,christianpost.com,https://www.christianpost.com/news/catholics-jews-join-evangelicals-in-fight-against-fema-policy-banning-churches-from-disaster-relief-201614/,Reliable,43.89,27.2,22.7,22.61455626,18.84,102,362,0,298,820,38.00424628,25,18.75,31.5,2949,22.29,154,471
113,christianpost.com,https://www.christianpost.com/news/russia-collusion-confusion-5-essential-unanswered-questions-205351/,Reliable,33.59,26.4,22.3,21.96613272,20.65217391,132,398,0,336,834,37.68421053,23,19.25,34.4,3298,24.03,139,475
114,christianpost.com,https://www.christianpost.com/news/are-facebook-google-twitter-manipulating-public-opinion-191438/,Reliable,52.82,22.4,18.5,20.74494118,18.38235294,114,474,0,362,1013,28.64,34,32.5,27.3,3772,20.66,178,625
115,christianpost.com,https://www.christianpost.com/news/google-responds-to-report-claiming-search-result-are-biased-against-conservative-sites-199616/,Reliable,47.13,27.6,22.5,18.48469818,15.64583333,112,575,0,475,1258,23.83488682,48,17,34,4757,22.82,192,751
116,christianpost.com,https://www.christianpost.com/news/former-npr-ceo-spends-time-with-evangelicals-republicans-discovers-media-bias-203917/,Reliable,59.26,32,24.2,21.41351829,20.36842105,44,277,0,201,598,46.25322997,19,37.5,37.7,2206,20.03,109,387
117,christianpost.com,https://www.christianpost.com/news/islamists-murder-28-in-nigeria-including-christian-women-and-children-president-decries-madness-203410/,Reliable,47.21,22.4,19.5,21.07463241,15.56666667,106,373,0,299,800,38.32976445,30,17.25,27.8,2996,21.59,150,467
